Av. Libertad 1245, Barrio Centro
Av. de los Próceres 981, Zona Norte
Av. del Sol 2230, Distrito Nuevo Horizonte
Av. Central 500, Colonia Jardines
Av. de la Innovación 142, Parque Tecnológico
Av. San Martín 780, Barrio Histórico
Av. de la Paz 1160, Sector Universidad
Av. Independencia 3055, Zona Este
Av. Río Claro 890, Colinas del Sur
Av. de las Ciencias 1337, Ciudad Universitaria
Av. Bolívar 450, Barrio Colonial
Av. del Bosque 675, Lomas Altas
Av. de la República 1200, Villa Moderna
Av. del Trabajo 298, Zona Industrial
Av. Nueva Esperanza 1830, Barrio San Gabriel
Av. Costanera 210, Bahía Norte
Av. del Maestro 999, Centro Educativo
Av. de los Pinos 350, Residencial Monteverde
Av. Belgrano 1880, Barrio Cultural
Av. del Mar 420, Paseo Costero
Av. Tecnológica 300, Distrito Digital
Av. Las Palmeras 1520, Zona Recreativa
Av. General Paz 1033, Barrio Las Américas
Av. Horizonte Azul 2500, Nuevo Barrio Sur
Av. del Futuro 198, Ciudad del Saber
